fullName,parkCode,state,description
Colorado National Monument,colm,CO,"Colorado National Monument preserves one of the grand landscapes of the American West. But this treasure is much more than a monument. Towering monoliths exist within a vast plateau and canyon panorama. You can experience sheer-walled, red rock canyons along the twists and turns of Rim Rock Drive, where you may spy bighorn sheep and soaring eagles."
Coltsville National Historical Park,colt,CT,"When Samuel Colt started his Hartford factory on the banks of the Connecticut River in 1847, it followed years of mismanagement and failure. Soon, demand for Colt's revolver would change his fortunes and the Colt empire was born. Following Colt's untimely death in 1862, his wife, Elizabeth Colt, would lead the company to its legendary status, and influence Hartford for over 40 years."
Congaree National Park,cong,SC,"Astonishing biodiversity exists in Congaree National Park, the largest intact expanse of old growth bottomland hardwood forest remaining in the southeastern United States. Waters from the Congaree and Wateree Rivers sweep through the floodplain, carrying nutrients and sediments that nourish and rejuvenate this ecosystem and support the growth of national and state champion trees."
Constitution Gardens,coga,DC,"Officially established in 1965, National Mall and Memorial Parks actually protects some of the older parkland in the National Park System. Areas within this premier park provide visitors with ample opportunities to commemorate presidential legacies; honor the courage and sacrifice of war veterans; and celebrate the United States commitment to freedom and equality."
Coronado National Memorial,coro,AZ,"It was a journey of conquest filled with exploration, wonder - and cruelty. Inspired by tales of vast cities of gold, 339 European soldiers and hundreds of Aztec allies embarked on an epic journey through arid deserts and rugged mountains. They encountered rich traditions and brought new technologies. The resulting collision and combination of cultures reverberates today."
Cowpens National Battlefield,cowp,SC,"A pasturing area at the time of the battle, this Revolutionary War site commemorates the place where Daniel Morgan and his army turned the flanks of Banastre Tarleton's British army. This classic military tactic, known as a double envelopment, secured a patriot victory."
Crater Lake National Park,crla,OR,"Crater Lake inspires awe. Native Americans witnessed its formation 7,700 years ago, when a violent eruption triggered the collapse of a tall peak. Scientists marvel at its purity—fed by rain and snow, it’s the deepest lake in the USA and one of the most pristine on Earth. Artists, photographers, and sightseers gaze in wonder at its blue water and stunning setting atop the Cascade Mountain Range."
Craters Of The Moon National Monument & Preserve,crmo,ID,"Craters of the Moon is a vast ocean of lava flows with scattered islands of cinder cones and sagebrush. We invite you to explore this ""weird and scenic landscape"" where yesterday's volcanic events are likely to continue tomorrow."
Cumberland Gap National Historical Park,cuga,"KY,TN,VA","Cumberland Gap was the first great gateway to the west. Come follow the path of bison, Native Americans, longhunters, and pioneers. Walk where 300,000 people crossed the Appalachians to settle America. Explore 85 miles of trails and 14,000 acres of wilderness. Stand in 3 states at once. Explore a cave, see Hensley Settlement, or camp under the stars. Come find your connection to Cumberland Gap."
Cumberland Island National Seashore,cuis,GA,"St Marys is the gateway to Cumberland Island, Georgia's largest and southernmost barrier island. Here pristine maritime forests, undeveloped beaches and wide marshes whisper the stories of both man and nature. Natives, missionaries, enslaved African Americans and Wealthy Industrialists all walked here. Cumberland Island is also home to over 9,800 acres of Congressionally designated Wilderness."
Curecanti National Recreation Area,cure,CO,"Located on the Western slope of the Rocky Mountains of Colorado, Curecanti includes three reservoirs in the Upper Gunnison River Basin (Blue Mesa, Morrow Point, and Crystal). There are opportunities for hiking, boating, kayaking, camping, fishing, paddle-boarding, windsurfing, wildlife watching, and many other recreational activities."
Cuyahoga Valley National Park,cuva,OH,"Though a short distance from the urban areas of Cleveland and Akron, Cuyahoga Valley National Park seems worlds away. The park is a refuge for native plants and wildlife, and provides routes of discovery for visitors. The winding Cuyahoga River gives way to deep forests, rolling hills, and open farmlands. Walk or ride the Towpath Trail to follow the historic route of the Ohio & Erie Canal."
César E. Chávez National Monument,cech,CA,"Yes, we can! Widely recognized as the most important Latino leader in the United States during the twentieth century, César E. Chávez led farm workers and supporters in the establishment of the country's first permanent agricultural union. His leadership brought sustained international attention to the plight of U.S. farm workers, and secured for them higher wages and safer working conditions"
